,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,ESTCD,GrowthRate
10,10,10,10,10,10,10,10,10,10,28.245040000000003,1126.65067,4190.82341,6.69667,0.0,0.0,4190.82341,0.0,399628.0481,739623.6843,2158707.8,0.0,0.0,0.45695,0.5579999999999999,1.79632,0.19481,20007.0,1832688.305,771510.5428,1864435.855,1246965.806,1046211.531,5.18,67.4,7012.68195,-inf,137180.0929,142532.50869000002,4.76388,0.0
11,11,11,11,11,11,11,11,11,11,23.8354,1264.81015,4598.91759,7.43643,0.0,0.0,4598.91759,0.0,408829.5457,700449.5877,2079207.2,0.0,0.0,0.46723,0.61563,1.83933,0.19499,20345.939,1909118.082,830871.1509,1857639.511,1260657.219,1166815.81,5.77,64.7,7709.22915,-inf,204031.6166,209926.61617,5.01211,0.0
12,12,12,12,12,12,12,12,12,12,24.51267,1362.50869,4784.0548899999985,6.40027,0.0,0.0,4784.0548899999985,0.0,329587.0651,561777.9517,2012727.6,0.0,0.0,0.51658,0.6482600000000001,1.87057,0.18678,20585.469,1932051.017,854372.9131,1912835.836,1286937.229,1192521.045,4.25,65.1,8198.61735,-inf,279958.3085,286135.78501999995,5.3608400000000005,0.0
13,13,13,13,13,13,13,13,13,13,40.61833,1399.67356,5777.8864200000025,5.08862,0.0,0.0,5777.8864200000025,0.0,402618.3604,507133.0687,1949235.0,0.0,0.0,0.60664,0.7237100000000001,2.02131,0.17737,20868.728,1987098.907,878102.3208,2014388.781,1416001.154,1189442.791,6.82,66.9,9363.87533,-inf,195793.6192,203016.88613,5.87911,0.0
14,14,14,14,14,14,14,14,14,14,78.19724000000002,1572.63724,8617.50358,4.9557,0.0,0.0,8617.50358,0.0,484739.6517,419143.6819,1873417.4,0.0,0.0,1.28889,0.91555,3.20819,0.12006,21173.865,1899594.416,844943.8596,1946510.863,1273250.115,1148332.809,7.04,67.5,12806.93419,-inf,259716.8978,269990.19156,7.93885,0.0
15,15,15,15,15,15,15,15,15,15,74.61808,2148.15761,9890.80963,14.36122,0.0,0.0,9890.80963,0.0,417308.8107,365212.1334,1868754.2,0.0,0.0,1.32289,1.24525,3.55033,0.21481,21537.849,1955852.254,971538.6072,1905924.434,1303984.794,1220288.264,4.1,65.9,14970.44139,-inf,417168.4002,429296.34674,8.71066,0.0
16,16,16,16,16,16,16,16,16,16,95.21425,2552.69036,10945.74989,15.01495,0.0,0.0,10945.74989,0.0,240578.4684,400198.6708,1890921.8,0.0,0.0,1.429,1.5521,3.60716,0.28273000000000004,21935.909,2065484.61,979744.5442,1956581.745,1256881.013,1202299.232,5.07,67.0,16673.777980000006,-inf,549253.7331,562862.40255,9.47997,0.0
17,17,17,17,17,17,17,17,17,17,110.41702,3164.10759,12632.34943,24.38509,0.0,0.0,12632.34943,0.0,148706.8893,353544.2145,2027732.2,599975.9258,10.63976,1.47009,1.90788,3.72405,0.27902,22352.396,2206924.591,995873.7238,2027050.379,1451496.78,1153748.507,5.52,67.8,19289.75502,-inf,385390.8128,401322.07193000003,11.36386,0.06882350611808503
18,18,18,18,18,18,18,18,18,18,107.67605,2984.0035,13495.35814,24.28457,0.0,0.0,13495.35814,0.0,385488.6825,352083.5822,2013649.8,641268.3726,10.13244,1.58599,2.02801,3.934,0.28979,22835.958,2372998.734,1005773.746,1923137.962,1455182.519,1195699.292,10.31,67.8,21062.94638,-inf,443647.1168,460258.43906000006,12.39184,0.03955022044385168
19,19,19,19,19,19,19,19,19,19,116.02206,4276.455660000001,18206.71141,35.51242,0.0,0.0,18206.71141,0.0,351169.7637,282281.1734,2043154.4,666630.6781,10.13754,1.69215,2.47408,5.21232,0.37256,23256.88,2354345.67,1051580.317,2062065.583,1590282.8380000002,1289994.298,6.19,67.8,26585.1748,-inf,369622.8614,392257.56295,12.43081,0.030115651228682917
20,20,20,20,20,20,20,20,20,20,126.62621,6063.18626,24242.24122,26.0656,0.0,0.0,24242.24122,0.0,423618.4329,342208.3289,2070153.4,686706.6951,9.57142,1.91366,3.54484,7.41806,0.48571,23800.8,2363749.739,1085300.13,1898056.517,1484998.803,1225645.64,6.01,66.0,36099.28138,-inf,460240.5804,490698.69969,17.15618,0.03291988859480688
21,21,21,21,21,21,21,21,21,21,169.28308,6969.27881,27147.767330000002,30.17383,16.10674,0.0,27163.87407,0.0,311123.9805,414770.716,2232756.4,709313.003,8.973930000000003,2.15921,3.8808,8.82433,0.85316,24285.933,2345618.119,1132070.24,1695529.593,1386526.316,1192108.862,6.07,67.8,40551.43559,-inf,556505.8347,590822.33775,18.892670000000006,0.00028470942890627
22,22,22,22,22,22,22,22,22,22,152.06545,7886.8901,24110.67465,31.64746,41.41368,0.0,24152.08833,0.0,525064.7575,432487.2135,2329117.6,709514.9511,8.59803,2.19068,4.70218,8.8461,0.76522,24820.009,2230679.052,1085584.066,1552216.501,1280664.047,1231949.133,7.79,66.2,40977.66623,-inf,623125.5051,655306.7827600001,21.8496,0.03577946322433751
23,23,23,23,23,23,23,23,23,23,75.75516999999998,8039.141229999997,20932.03641,65.32106,34.74607,0.0,20966.78248,0.0,598434.671,463384.5899,2347190.4,734901.0152,8.31749,2.36574,5.30534,7.79415,1.06709,25360.026,2253696.3,1004807.539,1628757.207,1281327.634,1225272.968,10.86,64.7,37852.992,-inf,607930.1255,637042.37937,20.7881,0.0802890210784947
24,24,24,24,24,24,24,24,24,24,89.29005,8930.98741,21984.46974,170.41418000000004,27.31525,0.0,22011.78499,0.0,450580.1375,526963.1637,2389716.0,793905.4983,8.25923,2.39752,5.42478,7.498639999999999,1.11116,25844.393,2373539.184,1069984.684,1886507.8,1315768.513,1227018.785,3.42,64.1,40559.01716,-inf,692783.9852,723959.1465800002,20.94064,0.051218745791623624
25,25,25,25,25,25,25,25,25,25,102.41068,9251.77184,21291.26382,200.40486,12.9134,0.0,21304.17722,852.0,331348.1572,546052.752,2458486.6,834568.3422,7.93784,2.2625,5.0137,7.45166,0.95629,26441.109,2364206.375,1079471.879,1877743.664,1382083.794,1303247.074,4.26,63.3,41690.96152,-inf,687342.197,718188.0482000002,22.90352,0.037834144675036326
26,26,26,26,26,26,26,26,26,26,96.06179,6011.59764,16631.31006,268.09639,9.522,0.0,16640.83206,0.0,433077.1206,511410.7223,2358657.0,866143.5216,7.53873,2.25928,4.01618,5.70728,0.9667,27102.237,2447310.477,1072751.335,1792564.156,1329261.777,1217001.048,5.69,64.9,35679.073560000004,-inf,722691.9759999998,745699.0418799998,23.21127000000001,0.061690805354399865
27,27,27,27,27,27,27,27,27,27,94.03152,7109.84822,17981.48532,312.62736,14.84054,0.0,17996.32586,552.0,255937.463,468677.7616,2295060.0,919576.613,7.5758,2.09185,3.77062,5.89468,0.98528,27777.158,2578318.262,1134976.427,1945345.399,1401204.999,1307891.865,6.51,64.8,37959.08202,-inf,712616.6266,738114.61902,22.70108,0.05662059165482496
28,28,28,28,28,28,28,28,28,28,98.66447,7145.27942,18688.93895,293.07792,29.19858,0.0,18718.13753,648.0,242346.9181,444232.9773,2238875.4,971643.5849,7.38128,1.94129,4.04622,5.83191,0.89569,28464.249,2730005.235,1200876.4840000002,1882197.396,1351184.146,1358897.726,4.52,65.5,39889.96173,-inf,849116.6154,875342.57616,23.41533,0.037766068412602764
29,29,29,29,29,29,29,29,29,29,124.88383,7825.377179999998,20737.4709,291.99034,28.36437,0.0,20765.83527,492.0,321317.5759,404557.6604,2112650.0,1008338.743,7.38695,1.88003,4.0042300000000015,6.31966,0.84845,29218.164,2816953.512,1275405.999,1936041.811,1667030.399,1420136.533,2.88,64.6,43761.68383,-inf,637470.8417,666450.56395,24.91162000000001,0.029311278779258387
30,30,30,30,30,30,30,30,30,30,159.18257,8366.412859999999,23456.20772,249.59636,33.69511,0.0,23489.90283000001,732.0,247490.2819,401146.6806,2035214.2,1037894.441,7.27258,1.89143,4.19696,7.24018,0.72147,29959.515,2834433.7630000007,1342105.398,1980660.497,1583547.4230000004,1390975.0580000002,3.51,64.8,48464.93257,-inf,789340.7285,821572.12801,25.98045,-0.014341307181160666
31,31,31,31,31,31,31,31,31,31,163.10686,8774.07093,20827.92895,221.53528,40.42411,0.0,20868.35306,684.0,229143.9199,414017.1422,2035892.8,1023009.678,7.22262,1.82203,4.3430300000000015,6.90494,0.66993,30470.736,2691307.504,1314487.095,2003424.784,1515870.244,1379598.0159999998,6.5,65.2,47540.13825,-inf,816298.5893,846285.23132,27.69657,-0.0016605317002680309
32,32,32,32,32,32,32,32,32,32,153.25113000000005,8456.77303,22610.30292,203.69722,5.04092,0.0,22615.34384,1236.0,208571.3542,402191.7601,2018632.0,1021310.938,7.21576,1.6746,3.97345,7.557930000000002,0.55196,30974.659,2681120.971,1305979.704,2015601.388,1678251.3369999996,1366836.718,8.4,66.3,49605.85625,-inf,695805.0513,727229.0756000001,28.38309000000001,-0.00398957834328019
33,33,33,33,33,33,33,33,33,33,142.39771000000005,8264.631640000001,21963.73785,145.29493,18.10925,0.0,21981.8471,0.0,417437.4505,352455.9707,1993628.2,1017236.338,7.09548,1.6818099999999998,4.02495,7.457789999999997,0.438,31274.928,2641734.719,1255996.42,1952157.052,1774003.7240000004,1367891.381,8.17,65.5,48548.80142,-inf,569328.9445,599845.0066300001,28.5039,0.01881328093098455
34,34,34,34,34,34,34,34,34,34,143.61853,9074.88938,22319.59394,164.08781000000005,25.59307,0.0,22345.18701,0.0,237398.1363,340053.1185,1992700.2,1036373.891,7.09875,1.6973,4.12515,7.25113,0.46513,31484.435,2757750.542,1233673.591,1978988.004,1751899.785,1386549.1430000002,6.69,64.7,50203.44786,-inf,607847.335,639549.52466,28.7816,0.0395910224643049
35,35,35,35,35,35,35,35,35,35,140.21542,8337.67825,22840.36813000001,135.11967,81.0289,0.0,22921.39703,0.0,495317.6366,308223.984,2033978.8,1077404.993,6.84425,1.66283,4.22244,7.35858,0.42518,31696.582,2820810.213,1277682.612,1933849.167,1700904.938,1341681.305,9.84,65.6,50933.50326000001,-inf,661991.1507,693444.53217,29.15305,0.04007894457567256
36,36,36,36,36,36,36,36,36,36,133.3009,8059.47931,25264.64087,157.32898,74.03413,0.0,25338.675,0.0,462728.8866,320465.7157,2011602.4,1120586.248,6.66722,1.65953,4.31968,8.064860000000001,0.43932,32018.834,2868005.519,1265125.986,1960328.751,1634801.343,1377736.61,8.05,65.5,52664.51069,-inf,791155.0151,824769.7651600002,27.850040000000003,0.0600968931398131
37,37,37,37,37,37,37,37,37,37,140.91808999999995,9467.91373,25758.13597000001,145.16963,75.97283,0.0,25834.1088,0.0,419290.0783,313734.3359,1967980.6,1187930.0,6.38048,1.70498,4.68633,8.40829,0.45338,32486.01,2802790.349,1314733.41,2092852.096,1617037.059,1369188.736,5.86,64.9,55231.65459,-inf,910758.9369,946271.07432,28.04186,0.06780281666428156
38,38,38,38,38,38,38,38,38,38,110.5504,9907.84113,22628.29164,164.8273,50.25008,0.0,22678.54172,0.0,505242.9954,349864.2651,1913188.0,1268475.0,6.18005,1.67104,4.39139,7.24458,0.4541600000000001,32987.675,2811081.394,1433841.646,2103459.548,1800883.272,1490852.201,13.32,62.3,51878.92725,-inf,823844.7267,856656.23717,26.23398,0.07833737361792704
39,39,39,39,39,39,39,39,39,39,113.41488,9451.98895,27238.89702,146.16568,50.83356,0.0,27289.73058,0.0,416573.1567,410698.8177,1813770.2,1367844.0,5.73083,1.63076,4.2474300000000005,8.43383,0.41913,33499.204,2873058.841,1351765.905,2121643.704,1788178.93,1492407.2680000004,5.98,62.8,55772.72033,-inf,834549.0749,871499.5414299999,26.37634000000001,0.07497199973096347
40,40,40,40,40,40,40,40,40,40,109.91204,15046.07486,35287.666079999995,164.86763,69.07349,0.0,35356.73957,0.0,391042.951,390975.4554,1775519.2,1470394.0,5.43234,1.56991,6.5399400000000005,10.4208,0.44942,33994.383,3021544.739,1384791.501,2129340.298,1964323.167,1452006.758,4.96,64.4,68201.6384,-inf,751785.8778,802394.39841,27.80999000000001,0.0013316158798254074
41,41,41,41,41,41,41,41,41,41,98.82525,20823.32456,33806.2984,150.29592,93.68042,0.0,33899.97882,0.0,263923.1714,408479.0781,1692242.8,1472352.0,5.4302199999999985,1.45675,8.783439999999999,10.04276,0.43324,34481.753,2970936.958,1459895.742,2134130.772,1900558.497,1430228.299,7.38,65.8,73092.69862000001,-inf,817756.7026,872635.44673,32.90464,0.019988426680576384
42,42,42,42,42,42,42,42,42,42,120.00857,11081.23631,32687.78322,175.50105,100.26438,0.0,32788.0476,0.0,316793.6086,394507.1096,1669199.4,1501782.0,5.35039,1.71416,5.0988,9.3395,0.48926,34867.773,3134488.075,1468061.718,1995915.15,1727345.262,1436651.4019999998,4.29,65.5,69678.00166000001,-inf,853673.8771,897738.40625,35.80531,0.03137406094892601
43,43,43,43,43,43,43,43,43,43,118.7049,15314.99864,40205.66911,172.04516,687.72425,0.0,40893.39336,0.0,372472.3694,373313.5272,1624000.0,1548899.0,5.29934,1.70874,7.03827,11.44433,0.46383,35236.589,3274443.67,1462917.896,1983378.308,1775372.396,1487406.09,5.12,66.7,80938.08687999999,-inf,875017.2956,930828.71341,34.59158,0.04719545948444669
44,44,44,44,44,44,44,44,44,44,125.19996,17658.9436,47527.13293,148.84165,1173.2204800000004,0.0,48700.35341,0.0,342160.3931,356231.7195,1550108.0,1622000.0,5.1390400000000005,1.81688,7.60733,13.80584,0.47161,35538.256,3201788.482,1569272.4019999998,2050606.518,1752098.378,1513849.958,5.55,65.8,90268.94913,-inf,999180.6881,1064640.80624,33.32502,0.04315104808877929
45,45,45,45,45,45,45,45,45,45,128.83766,20771.68485,57823.7843,167.19472,1490.6881,0.0,59314.4724,0.0,396279.0337,353819.5354,1489718.4,1691991.0,4.92213,1.9109,9.57478,16.50712,0.44312,35770.687999999995,3290706.49,1544469.184,1998812.525,1798398.603,1494214.112,7.99,65.5,104084.9655,-inf,955497.6159999999,1034389.1175299999,34.15031,0.03299367431623454
46,46,46,46,46,46,46,46,46,46,144.70561,19608.71693,66176.77162999999,148.53321,1665.15647,0.0,67841.9281,0.0,476581.963,351100.4993,1447459.6,1747816.0,4.80898,2.15925,8.83287,18.75398,0.44535,35947.461,3342783.421,1581181.07,1945112.656,1913977.204,1536142.623,6.16,65.3,115977.7143,-inf,912049.8287,998128.55608,37.65886,0.015613199558763623
47,47,47,47,47,47,47,47,47,47,164.25218999999996,19822.23803,71377.88733,176.82268,1882.17096,0.0,73260.05829,0.0,270107.4899,339526.5504,1399992.4,1775105.0,4.76063,2.47016,8.69464,20.0345,0.47117,36185.908,3387324.173,1611141.937,1924811.84,1830900.388,1527330.033,2.98,65.3,121313.9374,-inf,1004480.132,1096021.3322299998,37.61509,0.0023260595852076355
48,48,48,48,48,48,48,48,48,48,168.55809,23114.54869,83521.49171999999,161.78986,2193.02611,0.0,85714.51783,0.0,237755.436,331492.569,1384407.8,1779234.0,4.66357,2.6734,10.05801,24.59899,0.4765,36538.008,3220751.395,1634332.562,1879830.524,1780097.385,1562675.0259999996,3.24,66.0,135274.85199999998,-inf,1093156.1409999998,1200122.5293599998,36.65663,-0.023792823203693275
49,49,49,49,49,49,49,49,49,49,139.51381999999998,14165.67542,58143.49891,175.99174,1639.12695,0.0,59782.62586,0.0,272187.2346,309834.8831,1328165.2,1736901.0,4.6090800000000005,2.66232,6.37809,17.71125,0.5297,36887.615,3129539.397,1578660.295,1769997.27,1749620.228,1527310.983,5.11,66.7,104711.6886,-inf,999871.5237,1072496.20359,38.90736,-0.023792823203693275
